latitude;longitude;classificacao_acidente;relev
-3.7867209;-38.5114568;Sem Vítimas;1
-19.703245;-47.985657;Sem Vítimas;1
-27.588255;-51.473515;Sem Vítimas;1
-3.73510648;-41.00097656;Sem Vítimas;1
-21.70488703;-41.30979616;Com Vítimas Feridas;1
-23.86213995;-46.94718508;Com Vítimas Feridas;1
-16.003145;-47.983944;Com Vítimas Feridas;1
-5.1147805;-37.34056776;Com Vítimas Feridas;1
-17.13201422;-49.98075485;Com Vítimas Feridas;1
-19.61785197;-40.48108118;Com Vítimas Feridas;1
-7.09414429;-41.38012304;Sem Vítimas;1
-16.54433804;-43.59543496;Com Vítimas Feridas;1
-25.08139932;-50.19200981;Com Vítimas Feridas;1
-24.95016699;-48.42400302;Com Vítimas Feridas;1
-18.76410695;-49.07452386;Com Vítimas Feridas;1
-18.74433705;-48.2313459;Com Vítimas Feridas;1
-29.886322;-50.637886;Com Vítimas Feridas;1
-29.77605895;-51.15508618;Sem Vítimas;1
-29.882015;-50.493973;Com Vítimas Feridas;1
-4.91258731;-44.37054035;Com Vítimas Feridas;1
-17.65256684;-46.41082393;Com Vítimas Fatais;1
-8.766685;-63.884052;Com Vítimas Feridas;1
-14.76037784;-40.69756008;Com Vítimas Feridas;1
-17.2456;-47.7647;Com Vítimas Feridas;1
-19.800765;-42.137801;Com Vítimas Feridas;1
-22.66036;-43.62017;Com Vítimas Feridas;1
-15.74211501;-39.47647498;Com Vítimas Feridas;1
-31.62068801;-52.50653602;Com Vítimas Feridas;1
-21.84029908;-42.68088324;Com Vítimas Feridas;1
-29.05578387;-49.62209542;Sem Vítimas;1
-9.957962;-48.74406002;Com Vítimas Feridas;1
-12.13130609;-45.09982109;Com Vítimas Feridas;1
-23.01331268;-44.28361913;Com Vítimas Feridas;1
-17.3442;-49.2472;Com Vítimas Feridas;1
-20.34529844;-40.41026774;Com Vítimas Feridas;1
-29.867395;-50.401199;Com Vítimas Feridas;1
-18.84936788;-41.97891368;Com Vítimas Fatais;1
-27.02982303;-48.60115006;Com Vítimas Feridas;1
-27.11744799;-48.60940987;Com Vítimas Feridas;1
-7.2755;-35.7831;Com Vítimas Feridas;1
-25.45155592;-49.36237578;Com Vítimas Feridas;1
-26.67120698;-48.69011814;Com Vítimas Feridas;1
-9.73827734;-45.26741798;Com Vítimas Feridas;1
-25.15559918;-50.13322909;Com Vítimas Feridas;1
-17.890628;-54.691692;Com Vítimas Feridas;1
-5.20338376;-37.32563418;Com Vítimas Feridas;1
-19.1438532;-40.0751016;Sem Vítimas;1
-20.56175976;-44.66523212;Com Vítimas Feridas;1
-30.212383;-52.540459;Com Vítimas Fatais;1
-12.65139312;-45.92147827;Com Vítimas Feridas;1
-5.774175;-35.2578;Com Vítimas Feridas;1
-8.78332371;-63.86316245;Com Vítimas Feridas;1
-29.610334;-51.804359;Com Vítimas Feridas;1
-22.12366631;-43.20173442;Com Vítimas Feridas;1
-4.99504885;-37.37495375;Com Vítimas Feridas;1
-28.51839098;-50.93942202;Com Vítimas Feridas;1
-28.90362464;-53.6270804;Com Vítimas Feridas;1
-25.537054;-49.31404;Com Vítimas Feridas;1
-9.49037062;-35.89829517;Com Vítimas Feridas;1
-12.40121588;-39.16830008;Com Vítimas Feridas;1
-25.46955114;-50.2816987;Com Vítimas Feridas;1
-17.8163;-51.1282;Com Vítimas Feridas;1
-21.71976086;-43.44303569;Com Vítimas Feridas;1
0.08282017;-51.07776189;Com Vítimas Feridas;1
-21.38614615;-45.1948603;Com Vítimas Feridas;1
-7.2774;-35.7367;Com Vítimas Feridas;1
-16.38851188;-39.348101;Com Vítimas Feridas;1
-25.10670298;-48.80405799;Sem Vítimas;1
-27.5650044;-48.61460082;Com Vítimas Feridas;1
-19.301651;-44.377922;Com Vítimas Feridas;1
-30.07969402;-51.34154882;Com Vítimas Feridas;1
-25.10922624;-48.74659689;Com Vítimas Feridas;1
-25.47032845;-49.61640358;Com Vítimas Feridas;1
-14.968002;-47.009731;Com Vítimas Feridas;1
-15.710013;-48.199486;Com Vítimas Feridas;1
-19.96890716;-44.18104581;Com Vítimas Feridas;1
-23.91064025;-46.99152058;Com Vítimas Feridas;1
-21.74732471;-46.40491826;Com Vítimas Fatais;1
-20.79822139;-42.30955489;Com Vítimas Feridas;1
-18.2087;-51.317787;Com Vítimas Feridas;1
-17.0245;-47.7626;Sem Vítimas;1
-13.026093;-39.96092;Com Vítimas Feridas;1
-5.069847;-42.876633;Com Vítimas Feridas;1
-8.168383;-34.9376;Sem Vítimas;1
-23.2449074;-46.59562343;Sem Vítimas;1
-20.55970999;-43.81303221;Sem Vítimas;1
-22.47673341;-42.2017251;Com Vítimas Feridas;1
-19.17736794;-48.95075187;Com Vítimas Feridas;1
-5.028232;-42.437134;Com Vítimas Feridas;1
-25.46541671;-50.24006397;Com Vítimas Feridas;1
-7.22459267;-35.59785085;Com Vítimas Feridas;1
-21.97237106;-45.63123585;Com Vítimas Feridas;1
-12.31624811;-39.04401672;Com Vítimas Feridas;1
-10.01188291;-67.773345;Com Vítimas Feridas;1
-19.45038924;-44.3166822;Sem Vítimas;1
-16.067129;-47.984235;Sem Vítimas;1
-17.021539;-47.178851;Com Vítimas Feridas;1
-30.270569;-52.906219;Com Vítimas Feridas;1
-19.62528388;-48.01556068;Com Vítimas Feridas;1
-5.88106901;-35.22542396;Com Vítimas Feridas;1
-7.07828212;-34.98823508;Com Vítimas Feridas;1
-16.78810728;-43.89347076;Com Vítimas Feridas;1
-14.52154211;-56.21818591;Com Vítimas Feridas;1
-28.5820168;-49.05059372;Com Vítimas Feridas;1
-26.25050176;-48.90863867;Com Vítimas Feridas;1
-26.950415;-52.526096;Sem Vítimas;1
-21.57173297;-45.24325979;Com Vítimas Feridas;1
-20.11476401;-42.18102184;Com Vítimas Feridas;1
-23.42244278;-51.90360392;Com Vítimas Feridas;1
-31.42456531;-52.66149946;Sem Vítimas;1
-22.4226117;-42.95115115;Com Vítimas Feridas;1
-5.13728811;-39.73839081;Com Vítimas Feridas;1
-20.256748;-42.008616;Com Vítimas Feridas;1
-10.676047;-37.443279;Com Vítimas Feridas;1
-19.79938863;-43.76137197;Com Vítimas Fatais;1
-23.91054997;-46.99149375;Com Vítimas Feridas;1
-27.09550316;-49.52962875;Com Vítimas Feridas;1
-21.08945416;-45.06864195;Com Vítimas Feridas;1
-22.71701306;-43.2899791;Com Vítimas Feridas;1
-21.59632074;-42.69196405;Com Vítimas Feridas;1
-7.948726;-34.907193;Com Vítimas Feridas;1
-19.95624622;-44.09843445;Com Vítimas Feridas;1
-7.97063209;-34.92064675;Com Vítimas Feridas;1
-22.58389953;-46.04782104;Sem Vítimas;1
-22.70588891;-46.12060547;Com Vítimas Feridas;1
-25.0358686;-48.54404396;Com Vítimas Feridas;1
-23.83401989;-52.95866195;Com Vítimas Feridas;1
-22.77050246;-46.23490598;Com Vítimas Feridas;1
-22.64080106;-43.06288894;Com Vítimas Feridas;1
-3.53991983;-47.49086353;Com Vítimas Feridas;1
-8.05584913;-48.46619817;Com Vítimas Feridas;1
-27.144717;-48.61063935;Com Vítimas Feridas;1
-31.750426;-52.35999499;Com Vítimas Feridas;1
-27.65981409;-48.67747798;Com Vítimas Feridas;1
-16.252738;-47.900437;Com Vítimas Feridas;1
-7.9554509;-34.91140727;Com Vítimas Feridas;1
-19.85068565;-45.02952576;Com Vítimas Feridas;1
-9.260822;-48.54802936;Com Vítimas Feridas;1
-23.38790115;-44.98068892;Com Vítimas Feridas;1
2.874681;-60.791526;Com Vítimas Feridas;1
-12.23547809;-38.94396807;Com Vítimas Feridas;1
-30.13970487;-51.35942618;Com Vítimas Feridas;1
-26.97769;-49.369198;Com Vítimas Feridas;1
-16.3924;-48.9588;Com Vítimas Feridas;1
-16.31142839;-48.82787704;Com Vítimas Feridas;1
-26.898739;-52.877975;Com Vítimas Feridas;1
-22.93154625;-43.98133788;Sem Vítimas;1
-26.61594101;-53.51942819;Com Vítimas Feridas;1
-21.5606587;-43.49865196;Com Vítimas Fatais;1
-5.21378318;-37.49323725;Com Vítimas Fatais;1
-26.988014;-51.753124;Com Vítimas Feridas;1
-24.24780677;-47.37000424;Com Vítimas Feridas;1
-22.761377;-43.686352;Com Vítimas Feridas;1
-25.103973;-48.710786;Com Vítimas Feridas;1
-23.44333014;-46.44531294;Com Vítimas Feridas;1
-27.663555;-49.159309;Com Vítimas Feridas;1
-21.85456357;-41.52621893;Com Vítimas Feridas;1
-23.31597519;-51.37657642;Sem Vítimas;1
-23.36553404;-46.55253934;Com Vítimas Feridas;1
-17.72382989;-46.22254698;Com Vítimas Feridas;1
-28.76851141;-49.3025538;Com Vítimas Feridas;1
-27.813074;-49.540077;Com Vítimas Feridas;1
-22.77280597;-43.28626763;Com Vítimas Feridas;1
-21.05500952;-41.19609059;Com Vítimas Fatais;1
-20.06746339;-40.37085006;Com Vítimas Feridas;1
-12.71846546;-39.74793434;Com Vítimas Fatais;1
-21.72655788;-41.32133519;Com Vítimas Feridas;1
-19.86715386;-40.40119171;Com Vítimas Feridas;1
-22.93065267;-45.36166116;Sem Vítimas;1
-16.95712;-47.270758;Com Vítimas Feridas;1
-16.20852786;-57.41284118;Sem Vítimas;1
-20.97575268;-44.93997846;Sem Vítimas;1
-21.30766784;-41.3253282;Com Vítimas Feridas;1
-10.88987987;-61.93126772;Com Vítimas Feridas;1
-18.88622703;-49.05195006;Com Vítimas Feridas;1
-25.520693;-49.294121;Com Vítimas Feridas;1
-12.94194706;-38.47081224;Com Vítimas Feridas;1
-15.96601299;-41.40367703;Com Vítimas Feridas;1
-18.89215187;-41.94699543;Com Vítimas Feridas;1
-16.730814;-47.626211;Com Vítimas Feridas;1
-6.20865867;-36.29031686;Com Vítimas Feridas;1
-26.24573198;-48.9101069;Sem Vítimas;1
-15.035155;-47.056973;Com Vítimas Fatais;1
-15.674941;-55.939884;Com Vítimas Feridas;1
-16.306765;-48.923847;Com Vítimas Feridas;1
-12.64828829;-39.60617355;Sem Vítimas;1
-20.17889309;-40.26530538;Com Vítimas Feridas;1
-26.87296395;-49.19126901;Com Vítimas Feridas;1
-4.75147981;-38.06476096;Com Vítimas Feridas;1
-29.816875;-51.392719;Com Vítimas Feridas;1
-19.77919981;-47.960032;Sem Vítimas;1
-5.17381686;-42.76624952;Com Vítimas Feridas;1
-24.00328505;-47.15633198;Com Vítimas Feridas;1
-9.44778544;-40.49043801;Com Vítimas Feridas;1
-24.044483;-54.272316;Sem Vítimas;1
-23.43387535;-45.08591652;Com Vítimas Feridas;1
-25.554628;-49.339268;Com Vítimas Feridas;1
-20.2924829;-42.21744498;Com Vítimas Feridas;1
-19.418214;-44.339468;Com Vítimas Feridas;1
-26.973248;-51.841671;Com Vítimas Feridas;1
-27.491682;-53.389172;Com Vítimas Feridas;1
-21.37449311;-43.56992662;Com Vítimas Feridas;1
-20.21740496;-40.26990578;Com Vítimas Feridas;1
-16.32475225;-39.59403992;Com Vítimas Feridas;1
-23.0431141;-50.104056;Com Vítimas Feridas;1
-18.32249395;-49.47512698;Com Vítimas Feridas;1
-18.1838;-47.9441;Com Vítimas Feridas;1
-7.02855707;-41.5570932;Com Vítimas Feridas;1
-32.04488513;-52.0855305;Com Vítimas Feridas;1
-21.5197389;-42.6491103;Com Vítimas Feridas;1
-19.52832567;-42.63334751;Com Vítimas Feridas;1
-20.57880683;-44.6872411;Sem Vítimas;1
-15.74586406;-52.61386501;Com Vítimas Feridas;1
-17.2188441;-46.8666753;Com Vítimas Feridas;1
-29.879977;-50.51217;Com Vítimas Feridas;1
-7.17221614;-35.03649044;Com Vítimas Feridas;1
-23.29567178;-51.20865405;Com Vítimas Feridas;1
-5.123238;-42.79601812;Com Vítimas Feridas;1
-23.39457259;-52.0085907;Com Vítimas Feridas;1
-27.65184843;-48.67604941;Com Vítimas Feridas;1
-28.16300604;-48.6939345;Com Vítimas Feridas;1
-27.374527;-51.065792;Com Vítimas Feridas;1
-15.603384;-47.684692;Com Vítimas Fatais;1
-27.68421213;-49.00410891;Com Vítimas Feridas;1
-14.2260037;-39.5058199;Com Vítimas Fatais;1
-8.18470013;-34.96816895;Com Vítimas Feridas;1
-17.21604745;-44.45298992;Com Vítimas Feridas;1
-26.856062;-52.03215;Com Vítimas Feridas;1
-26.882812;-49.1548;Com Vítimas Feridas;1
-5.937378;-35.26483;Com Vítimas Feridas;1
-16.61894941;-43.6887828;Com Vítimas Feridas;1
-26.74132699;-53.50120591;Com Vítimas Feridas;1
-26.29251598;-48.88474385;Com Vítimas Feridas;1
-22.66137035;-43.09295957;Sem Vítimas;1
